spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.memory.offHeap.size,spark.broadcast.blockSize,spark.default.parallelism,spark.executor.memoryOverhead,spark.locality.wait,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.shuffle.partitions,spark.storage.memoryMapThreshold,spark.broadcast.compress,spark.rdd.compress,spark.sql.join.preferSortMergeJoin,spark.io.compression.codec,q1,q10,q11,q12,q13,q14a,q14b,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23a,q23b,q24a,q24b,q25,q26,q27,q28,q29,q3,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39a,q39b,q4,q40,q41,q43,q42,q44,q45,q46,q47,q48,q49,q5,q50,q51,q52,q53,q54,q55,q56,q57,q58,q59,q6,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q7,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q8,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99
11,15552m,6,6,6976m,2304m,14m,120,704,1700ms,0.47,0.38,120m,73k,23424k,14100,95,2m,TRUE,TRUE,TRUE,snappy,14560,16840,26799,11024,11334,39778,36243,11354,31326,16279,16777,12185,14447,12453,10708,27022,49235,51338,67258,64576,15894,11494,11233,21218,16083,10421,15454,15416,10652,12123,11708,18932,12221,13067,22974,14148,15046,89974,13978,5837,10752,9204,14239,12091,13568,17813,10687,18642,17172,22635,34014,8929,11222,15091,8869,12117,16309,12980,17288,12378,12099,11502,11543,11315,50788,20480,15369,166061,12426,16631,12183,14057,12258,68446,10511,24998,31760,15911,14991,41801,11722,13176,21665,16095,15156,14063,11962,16327,11876,26883,18437,10988,21972,10427,12421,10340,43031,22192,37386,9513,23309,11935,11522
3,9152m,12,3,24320m,896m,14m,124,1920,1400ms,0.43,0.52,45m,24k,13824k,12200,138,2m,FALSE,TRUE,TRUE,snappy,14445,21667,29757,10899,12186,39714,37003,13612,30817,16713,17598,13828,13467,11908,10425,58236,58542,62259,67894,67894,15495,11489,11268,22446,19729,9259,16780,16656,10002,12647,11042,20671,12158,14010,22992,14543,13953,95605,14527,6281,10442,8680,15541,14371,14159,17309,11500,19192,16238,31793,31054,9108,10493,16593,8854,12251,17117,13788,16707,12211,12612,12234,11220,10335,58911,21873,13885,183577,13578,19423,11491,13890,12262,73599,11659,26126,34524,15826,14643,43708,12039,13418,22756,16617,17317,12524,13314,20535,11447,28675,18135,11099,23012,9421,13865,10060,41120,22052,36236,10277,20791,12277,11627
4,13312m,4,2,20992m,384m,12m,40,4096,3700ms,0.59,0.46,87m,45k,16000k,5400,37,5m,TRUE,FALSE,TRUE,lz4,15963,17587,55494,11470,12706,82480,79046,12469,84073,20013,18860,12478,22123,11159,10615,146649,184098,197355,155568,156425,16496,12432,12587,49766,36974,9570,17272,17210,10005,12629,11941,23423,12802,19798,36101,16995,16391,354202,16554,5847,11731,8819,20819,12438,13777,24798,13834,26183,24995,50332,60933,8907,11428,16110,9332,12721,20257,14137,24488,13354,13073,11577,13573,11172,139825,54988,17179,531368,13390,16685,12536,15963,13364,222638,10948,48291,58710,24209,16679,127298,12346,12694,38548,17821,27344,12969,14884,19890,12186,40496,44079,11853,60573,13234,12296,9998,124526,47925,109795,12292,51658,12922,16490
9,12544m,9,7,8064m,3584m,6m,190,960,2600ms,0.78,0.78,62m,80k,27648k,15300,175,7m,FALSE,TRUE,FALSE,snappy,16240,24150,28777,12348,12053,36253,35833,15802,28824,19210,18631,14505,15140,12298,11069,22678,42468,52514,68501,63064,16923,12635,12420,21960,16886,9927,17714,17198,10856,12211,12396,23618,12877,14088,25627,15988,15371,76435,17286,10654,11264,10510,15306,14501,14516,19457,11403,19120,17672,22444,33837,10371,11446,16810,10626,13518,17224,15642,17887,13619,13010,12359,11917,11981,52540,22052,15757,120414,13189,22065,12455,14617,13136,157332,11616,27189,36539,16606,15272,41309,12967,13256,23225,18082,15800,14360,12402,21435,12376,26223,17927,12837,20813,10642,15107,11466,38450,24049,42775,10465,23300,14409,12158
8,9216m,11,6,6400m,2304m,4m,159,2944,4900ms,0.72,0.7,142m,59k,23680k,17000,281,8m,TRUE,FALSE,FALSE,lz4,12951,16242,25038,10972,11707,34375,32337,11982,33331,15941,15512,12724,13651,12291,10458,20960,39481,51190,61536,76041,14885,11594,11606,19252,15175,10145,14284,14980,10351,11303,11388,17525,12931,15056,18380,14047,14208,66518,14101,8875,11309,9205,14590,12155,12645,16141,10464,17876,16372,21642,35373,9252,11400,14801,9994,11853,15942,14819,16265,12317,12073,11162,11180,11251,57073,19184,15405,130040,12792,15946,11631,13873,12527,141920,10719,22783,32730,15241,14267,41057,11756,12561,21697,15326,15927,13827,12057,16035,11934,24172,17224,12002,19838,10074,12527,9917,33868,26939,40547,9681,22407,12804,11568
4,11328m,8,4,21440m,1152m,11m,104,1920,2900ms,0.6,0.59,61m,94k,16896k,5100,117,6m,TRUE,TRUE,TRUE,snappy,13293,16864,29052,10744,10671,44118,36185,11901,35463,16865,16137,12252,15038,10495,9797,24335,55219,59547,73900,76786,13922,10813,11371,21153,19885,8993,14718,16115,9882,11520,10552,16976,10583,14978,20384,12961,13188,96744,16327,6198,10406,8526,14322,12175,13295,16280,10547,18632,16570,30027,30963,8668,9756,14063,8465,11827,16056,12798,16683,11767,12184,10579,11299,9699,62173,21512,14733,242193,12407,15095,11108,14044,11511,69965,10777,23729,33342,15330,13892,45026,11534,12462,22853,15280,19529,11809,10982,15586,11435,22741,18633,10225,21970,10421,13049,9601,45077,23999,35942,9138,20295,11602,12814
11,6144m,4,8,12416m,3008m,2m,159,3584,4300ms,0.76,0.84,104m,20k,22272k,19400,96,5m,FALSE,FALSE,FALSE,lz4,14053,24773,31543,12135,10841,40201,37449,13155,34510,16451,17659,12945,15544,11534,9990,26406,56842,61566,74937,71296,14718,11008,10890,20916,17650,9452,15116,15300,10453,11740,10512,20208,11775,13584,18732,14639,13377,97085,13776,8248,10577,9424,13844,13475,13274,19008,10628,18280,17057,22938,34611,9576,10604,15983,9298,11896,16265,14499,17268,12335,11752,11801,11149,10671,65445,21844,14941,136082,12331,18890,11286,13353,12086,271894,10244,23037,32687,16376,14207,43503,11107,12703,22974,16016,17290,14818,12370,20409,11941,20068,19083,10949,22087,11356,13395,10313,41898,24083,55946,9815,26530,13327,12055
9,10688m,8,11,10368m,2688m,7m,276,832,1400ms,0.64,0.67,35m,55k,29184k,15000,232,1m,TRUE,TRUE,FALSE,snappy,14337,18611,24775,11958,11159,33547,32283,13302,29345,18632,16670,13249,15362,11860,10526,22295,43996,47490,69923,68580,16595,11227,11215,19684,17546,10317,15270,16110,11058,12349,11828,18646,12694,13737,19781,15197,16421,60071,16111,8608,11418,9717,14398,12507,13529,17045,10630,18565,17443,19632,25658,10014,12139,16288,10014,11138,16803,15930,17228,12335,13340,11810,11287,11843,61649,22306,16166,124711,12681,15968,12288,14462,13108,124821,11197,21665,32034,16238,14970,39077,11339,13572,22920,16630,16469,14560,13203,16510,11902,20976,18024,12244,20668,11302,13284,11313,37899,21639,36865,9693,20683,13778,12099
7,12224m,2,8,10368m,2496m,13m,60,2816,5200ms,0.47,0.42,138m,60k,10112k,10500,69,9m,FALSE,FALSE,TRUE,lz4,14057,27521,32902,11890,11794,53256,50510,13817,41529,16833,21855,15006,18119,11837,10509,33826,82068,84117,89369,90982,15520,10805,11155,29797,30781,9975,16577,16258,10445,11978,10672,24215,12877,14504,25647,14937,13497,157388,15126,8849,11351,9580,15909,14352,14237,19915,11789,20523,20855,45640,52291,9797,11162,17689,9911,11521,18023,14385,19902,13110,12612,12470,11903,11154,82151,27695,15613,182292,12375,21602,11199,15183,12427,98444,9995,32895,39684,18252,14541,59844,12016,13216,27174,17222,18162,14067,12754,23188,12256,41446,26913,11260,34913,11611,10763,10510,70133,27817,53076,11084,25159,13048,13353
10,15552m,6,9,9664m,3712m,14m,246,3712,6000ms,0.4,0.53,40m,41k,29952k,16600,223,8m,TRUE,FALSE,TRUE,lz4,13836,16646,25316,11888,10880,34193,34131,12657,30510,17913,16448,12235,15025,11897,10540,23181,48751,52875,75144,74878,15116,10978,11631,19702,16820,9941,15749,15095,10414,11631,10810,17534,11909,12716,21476,15100,14755,66921,13884,9323,10982,9665,13846,12613,13370,17168,10292,18305,17456,20963,29494,9443,11800,15251,10017,11961,16786,14111,16178,12419,12354,11711,11337,11073,61163,22013,15433,131677,12724,15702,11825,13833,12908,51955,10495,22712,32784,15838,14196,40327,13865,13032,23303,15739,18265,16390,11220,16629,11762,23926,17610,11719,19639,10982,12928,10440,44102,22428,29469,9644,22512,13867,11425
10,13440m,10,6,6656m,2880m,5m,148,1600,2200ms,0.68,0.78,117m,74k,12288k,8000,249,3m,FALSE,TRUE,FALSE,snappy,13454,21125,24242,10870,11694,32411,31975,13137,31135,15029,15680,13779,14412,12270,9409,22997,46975,48367,80546,78815,15051,11385,11200,17682,20275,10299,15312,14701,10131,11829,10663,18861,12580,14097,19082,14394,13591,63261,13410,8270,10636,10074,14045,13710,12922,15960,10858,17696,16083,20386,30211,9349,9851,16299,10101,11703,15637,14500,16703,12359,11830,12318,11326,11337,66416,22515,14611,121701,12882,20220,11690,13440,12813,143717,10139,20958,30792,15421,14571,42329,10900,12998,22583,14670,16457,12718,13099,19800,11974,20553,15970,10552,18831,9824,10527,10536,43542,24293,38662,9456,21328,13520,11228
